,HomeTeam,AwayTeam,BbAvH,BbAvD,BbAvA,FTR,AwayTeamGoals,HomeTeamConceded,AwayTeamConceded,HomeTeamGoals,Weekday
2754,Watford,Bournemouth,2.19,3.53,3.31,D,1.8,2.4,2.2,0.8,5.0
2755,West Ham,Sheffield United,2.11,3.46,3.6,D,1.0,1.4,0.8,1.6,5.0
2756,Burnley,Chelsea,4.53,4.02,1.75,A,2.4,1.2,1.8,1.4,5.0
2757,Newcastle,Wolves,3.02,3.09,2.59,D,1.0,1.0,1.2,0.8,6.0
2758,Arsenal,Crystal Palace,1.49,4.63,6.49,D,1.4,1.2,1.8,1.8,6.0
2759,Liverpool,Tottenham,1.54,4.45,6.11,H,1.0,0.8,2.0,2.8,6.0
2760,Norwich,Man United,4.36,3.91,1.8,A,0.6,2.6,1.2,2.6,6.0
2761,Bournemouth,Man United,3.33,3.55,2.19,H,1.0,1.4,1.2,1.4,0.0
2762,Arsenal,Wolves,1.78,3.8,4.65,D,1.2,1.4,1.0,2.0,0.0
2763,Aston Villa,Liverpool,8.4,5.37,1.36,A,1.8,1.0,0.6,1.4,0.0
2764,Brighton,Norwich,1.71,4.17,4.65,H,0.2,1.2,2.0,1.6,0.0
2765,Man City,Southampton,1.08,11.99,29.72,H,1.0,0.8,1.2,3.4,0.0
2766,Sheffield United,Burnley,2.26,3.22,3.46,H,1.2,0.8,1.6,0.6,0.0
2767,West Ham,Newcastle,1.79,3.82,4.55,A,0.6,1.6,2.4,1.2,0.0
2768,Watford,Chelsea,4.99,4.24,1.65,A,3.2,1.6,2.2,0.6,0.0
2769,Crystal Palace,Leicester,3.5,3.38,2.17,A,2.6,0.6,1.0,0.8,0.0
2770,Everton,Tottenham,2.73,3.49,2.57,D,1.2,1.4,2.2,1.4,0.0
2771,Norwich,Watford,2.68,3.57,2.6,A,0.4,2.8,2.6,2.0,6.0
2772,Chelsea,Crystal Palace,1.34,5.35,9.29,H,1.2,1.0,1.8,1.4,2.0
2773,Burnley,West Ham,2.27,3.55,3.13,H,1.2,1.4,1.2,1.6,2.0
